instrument,open,high,low,close,date
KWU27-Z27,-10.25,-0.75,-10.25,-5.75,1970-01-01
KWZ26-H27,-13.5,-10.5,-14.75,-13.75,1970-01-01
KWZ26-K27,-19.75,-12.0,-20.5,-18.5,1970-01-01
KWZ26-N27,-18.25,1.75,-18.25,-9.5,1970-01-01
KWZ26-U27,-23.0,4.5,-23.25,-10.5,1970-01-01
KWZ26-Z27,-25.0,2.0,-30.0,-16.5,1970-01-01
SBF27-H27,-7.5,-3.5,-8.25,-7.5,1970-01-01
SBF27-K27,-14.75,-7.5,-15.0,-13.25,1970-01-01
SBF27-N27,-19.5,-7.75,-20.0,-16.25,1970-01-01
SBF27-Q27,-4.5,12.5,-4.5,2.75,1970-01-01
SBF27-U27,45.5,56.5,40.5,43.25,1970-01-01
SBF27-X27,31.75,74.0,31.75,61.0,1970-01-01
SBH27-K27,-7.0,-3.25,-7.25,-6.0,1970-01-01
SBH27-N27,-11.75,-3.75,-12.25,-8.5,1970-01-01
SBH27-Q27,1.75,17.25,1.75,10.5,1970-01-01
SBH27-U27,51.25,61.5,48.5,52.75,1970-01-01
SBH27-X27,38.75,78.0,38.75,68.5,1970-01-01
SBK27-N27,-5.0,-0.25,-5.0,-3.0,1970-01-01
SBK27-Q27,9.25,20.5,8.75,16.5,1970-01-01
SBK27-U27,44.5,65.0,44.5,59.25,1970-01-01
SBK27-X27,47.5,81.75,47.5,74.0,1970-01-01
SBN27-Q27,13.5,21.0,13.25,19.0,1970-01-01
SBN27-U27,46.5,66.25,46.5,61.75,1970-01-01
SBN27-X27,49.25,83.0,49.25,77.0,1970-01-01
SBQ27-U27,31.25,45.5,31.25,42.5,1970-01-01
SBQ27-X27,37.0,62.0,36.5,57.75,1970-01-01
SBU26-F27,-31.25,-20.0,-31.75,-29.5,1970-01-01
SBU26-H27,-38.75,-26.5,-38.75,-30.0,1970-01-01
SBU26-K27,-46.0,-32.75,-46.0,-36.5,1970-01-01
SBU26-N27,-49.75,-37.0,-50.0,-39.0,1970-01-01
SBU26-Q27,-34.0,-20.25,-34.0,-22.0,1970-01-01
SBU26-U27,8.75,17.25,1.75,16.25,1970-01-01
SBU26-X26,-16.0,-5.75,-18.25,-14.75,1970-01-01
SBU26-X27,7.5,30.0,6.75,30.0,1970-01-01
SBU27-X27,5.25,17.0,4.5,15.5,1970-01-01
SBX26-F27,-15.5,-12.25,-16.5,-16.5,1970-01-01
SBX26-H27,-22.75,-18.0,-24.5,-23.75,1970-01-01
SBX26-K27,-30.0,-21.5,-31.0,-29.75,1970-01-01
SBX26-N27,-35.25,-22.75,-35.5,-33.0,1970-01-01
SBX26-Q27,-21.5,-2.0,-21.75,-13.5,1970-01-01
SBX26-U27,12.25,42.5,12.25,29.0,1970-01-01
SBX26-X27,16.0,59.5,14.5,44.5,1970-01-01
SMF27-H27,-2.6,0.4,-3.3,0.2,1970-01-01
SMF27-K27,-4.9,0.6,-6.2,0.2,1970-01-01
SMF27-N27,-7.7,0.8,-9.3,-0.2,1970-01-01
SMF27-Q27,-5.9,5.2,-7.0,4.2,1970-01-01
SMF27-U27,6.2,7.7,5.4,7.7,1970-01-01
SMF27-Z27,2.7,10.9,2.1,10.9,1970-01-01
SMH27-K27,-2.2,0.3,-2.9,0.1,1970-01-01
SMH27-N27,-5.2,0.4,-5.9,-0.3,1970-01-01
SMH27-Q27,-3.8,4.8,-4.6,4.1,1970-01-01
SMH27-U27,-1.5,10.1,-2.4,8.6,1970-01-01
SMH27-Z27,2.6,15.6,2.6,15.6,1970-01-01
SMK27-N27,-2.9,0.1,-3.1,-0.4,1970-01-01
SMK27-Q27,-2.2,4.7,-2.2,4.1,1970-01-01
SMK27-U27,0.3,10.4,0.2,10.4,1970-01-01
SMK27-Z27,6.5,12.1,6.5,12.1,1970-01-01
SMN27-Q27,0.8,5.0,0.8,4.5,1970-01-01
SMN27-U27,2.6,10.6,2.5,10.2,1970-01-01
SMN27-V27,8.9,8.9,8.9,8.9,1970-01-01
SMN27-Z27,2.7,15.9,2.7,15.5,1970-01-01
SMQ27-U27,1.7,5.8,1.6,5.7,1970-01-01
SMQ27-V27,4.3,12.3,4.3,12.3,1970-01-01
SMQ27-Z27,2.2,10.7,2.2,10.7,1970-01-01
SMU26-F27,-8.9,-7.7,-13.9,-12.0,1970-01-01
SMU26-H27,-11.6,-9.5,-16.7,-12.6,1970-01-01
SMU26-K27,-13.9,-11.0,-19.4,-15.1,1970-01-01
SMU26-N27,-16.8,-13.3,-21.8,-19.1,1970-01-01
SMU26-Q27,-15.7,-15.7,-17.4,-17.4,1970-01-01
SMU26-V26,-2.1,1.7,-4.6,-2.8,1970-01-01
SMU26-Z26,-6.8,-4.4,-11.2,-4.4,1970-01-01
SMU27-V27,2.6,6.6,2.5,6.5,1970-01-01
SMU27-Z27,0.8,5.2,0.5,5.0,1970-01-01
SMV26-F27,-6.7,-6.1,-10.2,-6.5,1970-01-01
SMV26-H27,-9.4,-5.9,-12.6,-6.3,1970-01-01
SMV26-K27,-11.1,-5.9,-15.2,-6.3,1970-01-01
SMV26-N27,-14.1,-5.7,-17.8,-6.6,1970-01-01
SMV26-Q27,-12.6,-2.0,-15.9,-2.0,1970-01-01
SMV26-U27,-10.7,1.0,-12.2,1.0,1970-01-01
SMV26-V27,0.8,1.9,-2.7,1.9,1970-01-01
SMV26-Z26,-4.4,-4.1,-7.3,-5.3,1970-01-01
SMV26-Z27,-1.4,-1.4,-1.4,-1.4,1970-01-01
SMV27-Z27,-2.1,-0.4,-2.3,-1.2,1970-01-01
SMZ26-F27,-2.1,-0.7,-3.2,-1.2,1970-01-01
SMZ26-H27,-4.7,-0.3,-6.1,-1.1,1970-01-01
SMZ26-K27,-7.0,0.0,-8.9,-0.9,1970-01-01
SMZ26-N27,-10.0,0.0,-12.0,-1.6,1970-01-01
SMZ26-Q27,-6.6,4.3,-10.1,3.0,1970-01-01
SMZ26-U27,-5.2,8.6,-7.4,8.6,1970-01-01
SMZ26-Z27,-5.7,13.2,-6.6,13.2,1970-01-01
WH27-K27,-7.25,-3.0,-9.5,-8.0,1970-01-01
WH27-N27,-6.25,10.5,-9.5,-5.75,1970-01-01
WH27-U27,-13.25,10.5,-16.5,-9.0,1970-01-01
WH27-Z27,-25.25,5.75,-28.25,-16.25,1970-01-01
WK27-N27,0.25,13.5,-1.0,2.0,1970-01-01
WK27-U27,-6.75,13.75,-8.25,-1.5,1970-01-01
WK27-Z27,-20.0,10.25,-20.0,-8.5,1970-01-01
WN27-U27,-7.25,2.0,-7.75,-3.5,1970-01-01
WN27-Z27,-19.5,-1.25,-20.75,-10.5,1970-01-01
WU26-H27,-32.25,-29.25,-38.25,-38.25,1970-01-01
WU26-K27,-40.0,-35.5,-44.5,-37.5,1970-01-01
WU26-N27,-37.75,-20.0,-44.0,-27.5,1970-01-01
WU26-U27,-45.75,-28.75,-51.0,-29.5,1970-01-01
WU26-Z26,-15.25,-12.75,-22.25,-16.0,1970-01-01
WU26-Z27,-54.0,-33.25,-59.75,-33.25,1970-01-01
WU27-Z27,-12.75,-3.0,-13.0,-7.5,1970-01-01
WZ26-H27,-17.0,-12.25,-18.25,-16.0,1970-01-01
WZ26-K27,-23.75,-15.5,-27.0,-24.0,1970-01-01
WZ26-N27,-24.0,-2.0,-27.25,-22.25,1970-01-01
WZ26-U27,-30.25,0.0,-34.75,-25.5,1970-01-01
WZ26-Z27,-42.0,-7.0,-46.75,-32.5,1970-01-01
